Fecha,Provincia,Diario,Acumulado
05/03/2020,Buenos Aires,0,0
05/03/2020,Ciudad de Buenos Aires,1,1
05/03/2020,Catamarca,0,0
05/03/2020,Chaco,0,0
05/03/2020,Chubut,0,0
05/03/2020,Córdoba,0,0
05/03/2020,Corrientes,0,0
05/03/2020,Entre Ríos,0,0
05/03/2020,Formosa,0,0
05/03/2020,Jujuy,0,0
05/03/2020,La Pampa,0,0
05/03/2020,La Rioja,0,0
05/03/2020,Mendoza,0,0
05/03/2020,Misiones,0,0
05/03/2020,Neuquén,0,0
05/03/2020,Río Negro,0,0
05/03/2020,Salta,0,0
05/03/2020,San Juan,0,0
05/03/2020,San Luis,0,0
05/03/2020,Santa Cruz,0,0
05/03/2020,Santa Fe,0,0
05/03/2020,Santiago del Estero,0,0
05/03/2020,Tierra del Fuego,0,0
05/03/2020,Tucumán,0,0
06/03/2020,Buenos Aires,0,0
06/03/2020,Ciudad de Buenos Aires,1,2
06/03/2020,Catamarca,0,0
06/03/2020,Chaco,0,0
06/03/2020,Chubut,0,0
06/03/2020,Córdoba,0,0
06/03/2020,Corrientes,0,0
06/03/2020,Entre Ríos,0,0
06/03/2020,Formosa,0,0
06/03/2020,Jujuy,0,0
06/03/2020,La Pampa,0,0
06/03/2020,La Rioja,0,0
06/03/2020,Mendoza,0,0
06/03/2020,Misiones,0,0
06/03/2020,Neuquén,0,0
06/03/2020,Río Negro,0,0
06/03/2020,Salta,0,0
06/03/2020,San Juan,0,0
06/03/2020,San Luis,0,0
06/03/2020,Santa Cruz,0,0
06/03/2020,Santa Fe,0,0
06/03/2020,Santiago del Estero,0,0
06/03/2020,Tierra del Fuego,0,0
06/03/2020,Tucumán,0,0
07/03/2020,Buenos Aires,0,0
07/03/2020,Ciudad de Buenos Aires,0,0
07/03/2020,Catamarca,0,0
07/03/2020,Chaco,0,0
07/03/2020,Chubut,0,0
07/03/2020,Córdoba,0,0
07/03/2020,Corrientes,0,0
07/03/2020,Entre Ríos,0,0
07/03/2020,Formosa,0,0
07/03/2020,Jujuy,0,0
07/03/2020,La Pampa,0,0
07/03/2020,La Rioja,0,0
07/03/2020,Mendoza,0,0
07/03/2020,Misiones,0,0
07/03/2020,Neuquén,0,0
07/03/2020,Río Negro,0,0
07/03/2020,Salta,0,0
07/03/2020,San Juan,0,0
07/03/2020,San Luis,0,0
07/03/2020,Santa Cruz,0,0
07/03/2020,Santa Fe,0,0
07/03/2020,Santiago del Estero,0,0
07/03/2020,Tierra del Fuego,0,0
07/03/2020,Tucumán,0,0
08/03/2020,Buenos Aires,1,1
08/03/2020,Ciudad de Buenos Aires,2,11
08/03/2020,Catamarca,0,0
08/03/2020,Chaco,0,0
08/03/2020,Chubut,0,0
08/03/2020,Córdoba,0,0
08/03/2020,Corrientes,0,0
08/03/2020,Entre Ríos,0,0
08/03/2020,Formosa,0,0
08/03/2020,Jujuy,0,0
08/03/2020,La Pampa,0,0
08/03/2020,La Rioja,0,0
08/03/2020,Mendoza,0,0
08/03/2020,Misiones,0,0
08/03/2020,Neuquén,0,0
08/03/2020,Río Negro,0,0
08/03/2020,Salta,0,0
08/03/2020,San Juan,0,0
08/03/2020,San Luis,0,0
08/03/2020,Santa Cruz,0,0
08/03/2020,Santa Fe,0,0
08/03/2020,Santiago del Estero,0,0
08/03/2020,Tierra del Fuego,0,0
08/03/2020,Tucumán,0,0
09/03/2020,Buenos Aires,0,1
09/03/2020,Ciudad de Buenos Aires,1,12
09/03/2020,Catamarca,0,0
09/03/2020,Chaco,2,2
09/03/2020,Chubut,0,0
09/03/2020,Córdoba,0,0
09/03/2020,Corrientes,0,0
09/03/2020,Entre Ríos,0,0
09/03/2020,Formosa,0,0
09/03/2020,Jujuy,0,0
09/03/2020,La Pampa,0,0
09/03/2020,La Rioja,0,0
09/03/2020,Mendoza,0,0
09/03/2020,Misiones,0,0
09/03/2020,Neuquén,0,0
09/03/2020,Río Negro,1,1
09/03/2020,Salta,0,0
09/03/2020,San Juan,0,0
09/03/2020,San Luis,1,1
09/03/2020,Santa Cruz,0,0
09/03/2020,Santa Fe,0,0
09/03/2020,Santiago del Estero,0,0
09/03/2020,Tierra del Fuego,0,0
09/03/2020,Tucumán,0,0
10/03/2020,Buenos Aires,1,2
10/03/2020,Ciudad de Buenos Aires,1,13
10/03/2020,Catamarca,0,0
10/03/2020,Chaco,0,2
10/03/2020,Chubut,0,0
10/03/2020,Córdoba,0,0
10/03/2020,Corrientes,0,0
10/03/2020,Entre Ríos,0,0
10/03/2020,Formosa,0,0
10/03/2020,Jujuy,0,0
10/03/2020,La Pampa,0,0
10/03/2020,La Rioja,0,0
10/03/2020,Mendoza,0,0
10/03/2020,Misiones,0,0
10/03/2020,Neuquén,0,0
10/03/2020,Río Negro,0,1
10/03/2020,Salta,0,0
10/03/2020,San Juan,0,0
10/03/2020,San Luis,0,1
10/03/2020,Santa Cruz,0,0
10/03/2020,Santa Fe,0,0
10/03/2020,Santiago del Estero,0,0
10/03/2020,Tierra del Fuego,0,0
10/03/2020,Tucumán,0,0
11/03/2020,Buenos Aires,1,3
11/03/2020,Ciudad de Buenos Aires,1,14
11/03/2020,Catamarca,0,0
11/03/2020,Chaco,0,2
11/03/2020,Chubut,0,0
11/03/2020,Córdoba,0,0
11/03/2020,Corrientes,0,0
11/03/2020,Entre Ríos,0,0
11/03/2020,Formosa,0,0
11/03/2020,Jujuy,0,0
11/03/2020,La Pampa,0,0
11/03/2020,La Rioja,0,0
11/03/2020,Mendoza,0,0
11/03/2020,Misiones,0,0
11/03/2020,Neuquén,0,0
11/03/2020,Río Negro,0,1
11/03/2020,Salta,0,0
11/03/2020,San Juan,0,0
11/03/2020,San Luis,0,1
11/03/2020,Santa Cruz,0,0
11/03/2020,Santa Fe,0,0
11/03/2020,Santiago del Estero,0,0
11/03/2020,Tierra del Fuego,0,0
11/03/2020,Tucumán,0,0
12/03/2020,Buenos Aires,1,4
12/03/2020,Ciudad de Buenos Aires,1,15
12/03/2020,Catamarca,0,0
12/03/2020,Chaco,1,3
12/03/2020,Chubut,0,0
12/03/2020,Córdoba,1,1
12/03/2020,Corrientes,0,0
12/03/2020,Entre Ríos,0,0
12/03/2020,Formosa,0,0
12/03/2020,Jujuy,0,0
12/03/2020,La Pampa,0,0
12/03/2020,La Rioja,0,0
12/03/2020,Mendoza,0,0
12/03/2020,Misiones,0,0
12/03/2020,Neuquén,0,0
12/03/2020,Río Negro,0,1
12/03/2020,Salta,0,0
12/03/2020,San Juan,0,0
12/03/2020,San Luis,0,1
12/03/2020,Santa Cruz,0,0
12/03/2020,Santa Fe,0,0
12/03/2020,Santiago del Estero,0,0
12/03/2020,Tierra del Fuego,0,0
12/03/2020,Tucumán,0,0
13/03/2020,Buenos Aires,1,5
13/03/2020,Ciudad de Buenos Aires,2,17
13/03/2020,Catamarca,0,0
13/03/2020,Chaco,0,3
13/03/2020,Chubut,0,0
13/03/2020,Córdoba,0,1
